Band #,Development,Site Banded,Nest# Banded,Nest Recipient,Nest Origin,Date,Julain Date,experimental?,Treatment Reared,Age (days),Sex,Brood#,Clutch Size Origin,Brood Size Reared,swapped?,Kid#,RWL,Tot. Mass,Cone,Net Mass,Mites?,D?,D No.,Plasma?,Feather?,Mother-Recipient,Mother-RecipientCort,Father-Recipient,Father-RecipientCort,Mother-Origin,Mother-OriginCort,Father-Origin,Father-OriginCort,Biol Mom,Biol MomCort,Biol Dad,Biol DadCort,Social Dad Genetic?,Fate,Notes,Plasma Date, Plasma Julain Date,Approach Time,Basline Time,StandardApproachTime,Latency Time,Latency Num,Stress Time,Elapsed Time,Elasped Num,[Baseline]  (ng/ml) ,ln [Baseline] ,[Stress] (ng/ml) ,ln [Stress] ,[Stress Response] (ng/ml),ln [Stress Response],Bird,date,patch,total.bright,avg.bright,hue,chrom
2391-83638,N,Empire,1,EMPI1,EMPI1,7/3/2010,184,Y,decrease,12,F,1,5,3,N,1,54.0,21.75,3.25,18.50,N,Y,10-251,Y,Y,2540-98657,y,2540-98647,y,2540-98657,y,2540-98647,y,2540-98657,y,2540-98647,y,Y,fledged,decreased nest,7/3/2010,184,14:06:05,14:06:40,14.1014,0:00:35,0.583,14:24:09,0:18:04,18.067,0.435880,-0.830390,47.917000,3.869470,47.669020,3.864282,239183638,70310,N,72358.32033,36.233510,627.4466667,0.341261217
2391-83639,N,Empire,1,EMPI1,EMPI1,7/3/2010,184,Y,decrease,12,M,1,5,3,N,2,60.0,21.50,3.25,18.25,N,Y,10-252,Y,Y,2540-98657,y,2540-98647,y,2540-98657,y,2540-98647,y,2540-98657,y,2540-98647,y,Y,fledged,,7/3/2010,184,14:06:05,14:07:47,14.1014,0:01:42,1.700,14:22:44,0:16:39,16.650,4.251580,1.447291,47.947160,3.870100,43.695580,3.777247,239183639,70310,N,30265.21733,15.155342,607.7366667,0.444263319
2391-83640,N,Empire,1,EMPI1,EMPI1,7/3/2010,184,Y,decrease,12,F,1,5,3,N,3,58.5,21.00,3.25,17.75,N,Y,10-253,Y,Y,2540-98657,y,2540-98647,y,2540-98657,y,2540-98647,y,2540-98657,y,2540-98647,y,Y,fledged,,7/3/2010,184,14:06:05,14:08:15,14.1014,0:02:10,2.167,14:22:04,0:15:59,15.983,2.285020,0.826375,32.347760,3.476545,30.062740,3.403287,239183640,70310,N,40705.56633,20.383358,627.4466667,0.383609811
2391-83550,N,Fisher,1,FISH1,FISH1,6/21/2010,172,Y,decrease,12,F,1,5,3,N,1,55.0,27.00,4.00,23.00,N,Y,10-153,Y,Y,2540-44593,y,2540-44680,y,2540-44593,y,2540-44680,y,2540-44593,y,2540-44680,y,Y,fledged,,6/21/2010,172,17:07:58,17:09:03,17.1328,0:01:05,1.083,17:23:13,0:15:15,15.250,1.743280,0.555768,26.342920,3.271200,24.599640,3.202732,239183550,62110,N,32487.33833,16.268071,596.1033333,0.434160709
2391-83551,N,Fisher,1,FISH1,FISH1,6/21/2010,172,Y,decrease,12,M,1,5,3,N,2,56.0,25.75,4.00,21.75,N,Y,10-154,Y,Y,2540-44593,y,2540-44680,y,2540-44593,y,2540-44680,y,2540-44593,y,2540-44680,y,Y,fledged,,6/21/2010,172,17:07:58,17:09:29,17.1328,0:01:31,1.517,17:23:06,0:15:08,15.133,0.560080,-0.579676,18.588580,2.922547,18.028500,2.891954,239183551,62110,N,57611.86167,28.849205,577.4,0.39891345
2391-83552,N,Fisher,1,FISH1,FISH1,6/21/2010,172,Y,decrease,12,F,1,5,3,N,3,47.0,26.00,4.00,22.00,N,Y,10-155,Y,Y,2540-44593,y,2540-44680,y,2540-44593,y,2540-44680,y,2540-44593,y,2540-44680,y,Y,fledged,,6/21/2010,172,17:07:58,17:10:08,17.1328,0:02:10,2.167,17:24:30,0:16:32,16.533,1.094180,0.090005,23.312300,3.148981,22.218120,3.100908,239183552,62110,N,58236.64533,29.162066,583.0766667,0.381558699
2391-83887,N,Fisher,10,FISH10,FISH36,6/23/2010,174,Y,increase,12,F,1,6,5,Y,1,53.0,22.25,3.50,18.75,Y,Y,10-156,Y,Y,2540-98783,Y,2540-44602,Y,2540-98618,y,2540-98711,Y,2540-98618,y,,n,N,fledged,,6/23/2010,174,11:59:45,12:03:26,11.9958,0:03:41,3.683,12:15:20,0:15:35,15.583,,,23.144140,3.141742,,,239183887,62310,N,24506.28567,12.271550,643.3633333,0.453849067
2391-83888,N,Fisher,10,FISH10,FISH36,6/23/2010,174,Y,increase,12,M,1,6,5,Y,2,49.5,22.00,3.50,18.50,Y,Y,10-157,Y,Y,2540-98783,Y,2540-44602,Y,2540-98618,y,2540-98711,Y,2540-98618,y,2600-27228,y,N,fledged,,6/23/2010,174,11:59:45,12:01:00,11.9958,0:01:15,1.250,12:18:10,0:18:25,18.417,0.975360,-0.024949,29.138600,3.372064,28.163240,3.338018,239183888,62310,N,81639.84,40.881242,622.0566667,0.345520608
2391-90805,N,Fisher,10,FISH10,FISH10,6/23/2010,174,Y,increase,12,F,1,4,5,N,3,55.0,22.75,3.50,19.25,Y,Y,10-254,Y,Y,2540-98783,y,2540-44602,y,2540-98783,y,2540-44602,y,2540-98783,y,2540-44602,y,Y,fledged,,6/23/2010,174,11:59:45,12:01:20,11.9958,0:01:35,1.583,12:16:15,0:16:30,16.500,2.257340,0.814187,11.375740,2.431483,9.118400,2.210294,239190805,62310,N,64248.763,32.172640,650.1466667,0.383041284
2391-90806,N,Fisher,10,FISH10,FISH10,6/23/2010,174,Y,increase,12,F,1,4,5,N,4,52.0,24.50,3.50,21.00,Y,Y,10-255,Y,Y,2540-98783,y,2540-44602,y,2540-98783,y,2540-44602,y,2540-98783,y,,n,N,fledged,,6/23/2010,174,11:59:45,12:02:45,11.9958,0:03:00,3.000,12:17:10,0:17:25,17.417,6.026060,1.796093,24.264200,3.189002,18.238140,2.903515,239190806,62210,N,32094.23467,16.071224,650.77,0.409801602
